actual,pred_lr,pred_rf
252301,1367965.1817611419,252320.62
59001162,91794926.71911988,56273218.96
16536981,20076652.376004722,19425516.07
6833678,12214724.841773394,6588329.95
46570752,51464489.93892485,49100107.37
3135556,2568171.3098094948,3257672.93
174488164,132538422.24574032,163388238.99
265919957,188447288.03686893,268482513.06
41230907,52126080.4366142,37576009.52
261087,3545157.654390771,261125.9
20473820,31476770.22515155,20054905.23
731901,-3723148.079053471,785223.33
4173020,-307714.34559692815,3990699.2
1063604,-2660501.6143544465,1055596.42
12553344,6348767.210809931,9709353.48
373373,-2314258.557963932,373365.27
314449,-4096463.82008769,311519.7
9434089,35994024.469059974,9351117.27
38399295,68462426.98029582,42292511.81
756228,-2339987.38327118,942613.15
784921,-3902880.387686575,743773.81
227697,668328.6679242626,227715.06
29980127,38254895.836778805,34605986.66
722394,-4499727.31908362,710403.65
987408,-4176531.976790279,984028.92
7193653,7968023.785455279,6353639.66
42940339,63891765.96789034,42119443.79
138832,985532.1026656628,138973.38
1009314,-4763379.067049446,993075.74
7207050,13053510.432546917,7266985.82
4427680,9217390.484251253,4830402.59
215575,1792809.069418665,215423.6
1604005,-987820.6581407525,1542108.46
8562444,4569778.979343146,8079735.14
416298,-5641791.3659594655,426417.82
3448173,-1626004.0232774988,3339195.86
24763267,41555906.04495403,23450877.38
1880098,-2127833.85504899,1871323.69
10966513,13531223.04214476,10993943.78
32309968,54015671.72794889,38647851.05
2013710,5932787.9895388335,1858535.62
232497,2016502.5412996933,232522.67
647885,-493.5477408207953,641768.37
88624,-3037743.2997470107,88634.65
486112,2278248.418022372,492083.12
16580826,18578300.687043298,16178449.13
666714,-4515820.095823517,765414.05
322989,-4743621.833334528,323129.15
520547,-4051012.882982092,536636.0
4762578,5364174.056462437,5794152.69
33753889,30955867.378271405,31603301.61
765813,-5108347.4883277975,785534.7
287340,-1104965.175044801,287366.46
1301517,-4795757.524600949,1176066.55
2792651,373316.9120749347,2794454.54
105735,-7517892.857978635,105553.01
252364,444466.59096509963,252429.77
5964795,7502707.859088529,6087154.87
194798,-1695219.2857401278,194779.27
292678,-1932529.9486323148,292691.04
148152203,151960390.87638405,149134246.82
24088221,91849131.08416495,27830013.89
282935,1252621.9839078188,282963.05
68574,212136.04851304367,68755.24
635247,-3122595.602214679,652606.2
606819,-3350284.6915291343,589058.23
3887675,3399248.787224937,4010305.04
126861687,100136505.65482044,91359297.41
70465882,60514518.27372739,73573645.58
235936,-3472185.616886344,268166.64
9827103,12630603.910677392,8826938.48
79734,331038.87494278327,79547.48
278673,-590119.007974457,278721.04
7278487,5106228.614369005,6998954.36
3487363,1986448.6487513222,3633130.6
125220,-2288131.3632174116,125177.25
35737065,38020203.73782545,44157687.82
6895499,6956689.455295183,7247100.63
16631975,23657662.457406413,18345682.99
32988734,31100967.35107303,30690703.48
90591,-3086029.019591773,90308.74
1726576,-2009031.1158521548,2047889.71
6100149,3802017.635249831,4999538.19
325934,1184406.682026755,318896.54
154582091,225829586.74378508,188300721.53
8567258,7842932.529406603,9515544.47
44962,-133225.1460457258,46484.23
1564644,-442157.1536903158,1461283.66
273647,-849641.5381262414,273732.65
6483502,4257122.682318412,5112350.08
3573442,3541591.100101318,3931227.3
7028634,11752916.527094841,6340848.64
5334215,8452172.491968114,4711059.95
2840445,-3261734.8641166296,3597925.29
185795808,156717577.8188488,222708238.36
324088,153682.85734078288,581122.23
4508774,949562.1843254119,4635569.12
4499726,-1526033.500501018,3749429.37
617218,-3479523.4143553656,605712.33
272384,304208.97517988086,272421.48
29093232,31029669.80018789,28105146.64
95905,-4670557.457119703,95927.06
146950542,193143777.33543974,144247376.27
617792,-4966933.722240936,599826.37
346722,-4648235.800862711,346680.73
807346,-3175968.494537277,776785.46
1128515,-2132454.1709729806,1379093.89
304137,-3321243.7326291148,303974.44
268284,-442824.30929355323,268318.77
1288024,-4395160.080694385,1171750.95
2449787,-3196155.9382649027,2563700.23
111505967,81099106.46854667,90828439.21
1579371,2305068.469750803,1388363.31
2418718,-670210.3351475969,3060545.19
62083,-1923318.3936912622,62125.87
126417091,147639498.08729288,121977453.07
260266,504117.782045953,260342.98
268278,-2040046.3803606424,268335.54
802160,-1374966.810549643,841165.92
450858,-509075.711033389,463647.3
553261,-2074526.7466204278,464143.67
2111836,627826.7775103897,1786966.9
14337420,30984456.024690244,16044194.11
1575107,-2793097.357244592,1701693.74
33388503,59003162.085373804,46202276.24
105518,-2394266.1679096483,105578.22
498895,-2240603.1189779136,516166.64
1948172,-3910680.4802206885,2018486.89
4164726,8629750.97313869,3681033.71
268850,-3593507.7959570736,252308.36
282594,-2199981.247847691,282702.86
732801,1704936.7720137984,732991.56
173854,1790577.05575338,173824.27
139328,406142.574499473,139288.06
2460506,-297607.611076273,2476885.72
255067,1166093.3270706981,255081.65
318256,-1910814.6223392058,326636.11
10460570,9791313.429866746,12293353.04
3841137,-1083986.6957757138,4189702.75
2572352,-1045895.6732616872,2488825.2
1859143,-5738520.335296273,2643128.27
19488624,43075187.20946218,33695798.0
72034,-1406110.1704565194,71823.11
259338,-2202633.740710264,259302.62
276024,-3832520.965460088,276070.56
13724909,42522254.28533594,14725228.7
163075,-3280852.7209760975,163063.79
255869,1348796.057433132,255883.01
2500731,2850208.8538289927,2420580.13
208456,2587983.6764756776,208479.67
112839982,55474498.43576345,68816531.56
1085102,-2835900.485548036,1130796.22
48374018,43187527.866794646,43918504.93
400193604,367897018.4901477,395017516.92
3635454,-757196.3605223596,3191558.65
349563888,329750432.7127424,356059803.32
3967639,5293814.005043827,3837614.26
254399,-1199695.3985299915,254219.22
23078817,36173592.17432682,22847241.8
251446,848064.2609089948,251414.79
276763296,258949600.96925497,273771152.27
3280796,1075721.0350889862,4753518.86
116709,-2863209.5947649535,117098.26
2743447,-1934603.9349991288,2717686.9
781675,-3400189.922473574,784892.86
586491,-3012999.8875329886,600701.58
267624,-34534.52089660987,267613.39
1585677,-2331021.8294198606,1636354.28
1753687,-2336702.040488351,1901848.97
8313605,14318050.986610182,11661193.06
30452912,41797412.50216453,63317649.05
273183,823091.4517166391,273191.9
9613292,5444007.498245928,9397522.8
189926403,125375025.66592398,167580646.91
30296028,24656630.56194104,26448332.33
701454,-508538.41792013124,766294.36
5180306,3688871.1414393596,5123424.26
908141,1139253.8477827758,832251.41
8689221,25172935.483549614,8401863.44
2334819,-2316870.8721141014,2161139.61
16315483,17492374.373644684,17599959.61
1649313,-1554127.3974826466,1712989.36
107955518,98001809.47808038,93536391.4
790076,3352969.690467216,868949.39
304704,-1629760.4554796945,304732.27
232905,-1338420.421314679,232937.76
1998831,-1172208.954682663,2027109.64
232149,1842056.4844941646,232223.36
3257184,-1231989.3045507371,2791455.34
240675,1828997.4786665477,240683.7
17646543,11052529.747600824,11364011.84
4285279,-687414.21973937,4714586.41
11406306,6647596.162375119,10099470.39
1657926,-6154160.422676504,1724524.85
354376,796807.7542962134,343300.4
12151293,23843406.003016982,20137192.72
34379158,57612659.06136438,38432931.9
29292989,29066593.624722343,31551160.9
1056317,-2604387.2724605817,1225878.54
300404,-4061602.5695356205,300399.15
573277,43649.7253745608,612320.8
287457,-3792711.7994156294,287486.24
1773002,-2075251.1021710187,1804385.62
800094,1553677.962497063,745840.78
3708968,6655926.239533212,3566352.98
241886,2691607.101214893,241922.17
24646624,35040593.43455936,25138313.66
9447914,2097636.9060577266,6263802.03
2624599,-877210.2370343134,2896409.68
2633818,-1672323.9296194594,2326558.49
6067976,2574417.8645235486,7027993.46
4862719,2423355.3011998273,4853869.29
255451,-1096504.618182376,255444.31
25126943,64099756.43318683,27094760.01
796469,-3606804.5322137643,876348.49
718317,-5456182.595044447,715109.27
14363266,31090988.886939485,13593945.55
4857666,6226610.6630699,4232737.19
309267,-1798951.1595495287,309250.03
227741,3106827.5904334188,227756.29
2067621,-3545823.896672299,1791887.63
12064776,10113764.309045568,12152651.69
1733021,-1633431.5412717517,1895194.49
354781,-1811796.3064450696,354765.79
57775138,56470492.11611749,57111214.87
255365,-1602420.116203554,255391.55
598610,-3378552.482478725,611740.41
19733203,18545644.416547354,17058844.77
137048398,171130561.68303213,190403627.72
233083,-1690417.104759818,231612.54
2278161,-500218.6349709928,2267767.45
15386444,21831768.16668794,14760730.94
276095,-1141355.2780304514,276102.21
587734,-3346489.673049599,618355.19
3480320,1379176.1054529734,3880608.51
303515,-3248497.1627093814,303495.55
1553088,-4238947.211802274,1522580.73
119200,-4162844.2320006527,119097.6
351175,-2378402.8796569053,380258.39
745583,-5608776.01332804,773757.71
2563478,-1544450.9280680604,2813207.0
1724779,-2570722.7420036793,1480635.85
7483977,5162267.626915161,8556371.33
3418722,7471542.935135849,3489968.23
3097760,1610213.7925480828,3355062.07
787057,-6898364.127144393,757656.35
257599,-553088.5455481187,257597.89
35566452,38455421.841991454,32050337.64
1400448,3625337.3985773884,1352095.21
1666482,-4100540.4829230327,1727216.19
244363,1139542.123631928,244413.43
88734,-3624152.819087133,88766.19
865349,-4350165.237333419,888630.16
27502756,27356796.10656086,25570190.57
50224935,55294908.46208367,56475649.13
303624,-4171159.174246356,303600.26
12244412,13388175.980954219,12161829.6
1693961,-777646.7825187258,1995843.49
979598,-4101496.766692277,879356.41
549712,1166205.9442044087,524299.08
930402,-363016.0211645998,831703.34
317179,-1486942.3741439395,317220.38
69518913,101253622.8721007,61307322.77
141077,-1742100.721731037,138366.07
60459436,86125878.00683486,64502170.85
42294034,39288641.132965505,31168672.57
3318069,2513712.367424719,3810762.3
1263406,-3714149.955547916,1046111.86
102327,-1024163.6567009687,115596.63
711115,-9608940.991029149,749827.97
23154387,36477618.13074005,23895725.79
13717753,12917202.020755306,14835011.47
20752626,29589996.45252185,18971539.68
26574302,37215748.396987826,33131292.19
1039240,-2631430.0589433517,1267399.73
607922,-4421280.709413949,599660.43
9060935,12920466.883570988,8458538.27
3304037,2166549.9573767968,3368544.94
24159082,24286838.65291484,22135215.04
4211366,1019164.769515194,4484685.88
13196382,25092141.41955788,10555591.08
