actual,pred_lr,proba_lr,pred_rf,proba_rf
0,0,0.42735640604995584,0,0.0
0,0,0.4358192983540013,0,0.0
0,0,0.39482372985067904,0,0.0
0,0,0.41373542182435435,0,0.0
1,1,0.5306109014369924,1,0.96
0,0,0.4703600005355125,0,0.0
0,0,0.34630141324234637,0,0.0
0,0,0.4850701410687621,0,0.0
0,1,0.7143979277569845,0,0.03
0,0,0.43771720916754847,0,0.0
0,0,0.4358207178959073,0,0.0
0,0,0.4647367328432158,0,0.0
0,0,0.4716904133632163,0,0.0
0,0,0.47787419289999605,0,0.0
0,0,0.4523806406111252,0,0.0
1,0,0.1420813835031305,0,0.37
0,0,0.40917564533742085,0,0.0
0,0,0.4970653393885588,0,0.12
0,0,0.47463903187791884,0,0.0
0,0,0.43279609329056584,0,0.0
0,0,0.40214341918672347,0,0.0
0,0,0.4575564613332249,0,0.0
0,0,0.46565607016601246,0,0.0
0,0,0.4324367348545585,0,0.0
0,0,0.4541806289478714,0,0.0
0,0,0.4582760241608772,0,0.0
0,0,0.46653423550869405,0,0.0
0,0,0.35073882031148745,0,0.0
0,0,0.4389488236384749,0,0.0
0,0,0.453482270147904,0,0.0
0,0,0.42326875791913227,0,0.0
0,0,0.42772298386394986,0,0.0
0,0,0.37305549362399737,0,0.0
0,0,0.4387981042995887,0,0.0
0,0,0.44644015278359545,0,0.11
0,0,0.4826788850851969,0,0.0
0,0,0.43793699142867926,0,0.0
0,0,0.43398897330824393,0,0.0
1,0,0.06585035991926529,0,0.25
0,0,0.4608519886686186,0,0.0
0,0,0.4387587847962971,0,0.0
0,0,0.3697307768200414,0,0.0
0,0,0.4500225734430181,0,0.0
1,1,0.5467694554767675,1,0.93
0,0,0.4164650120410777,0,0.0
0,0,0.4963032220216499,0,0.01
1,1,0.9267880917122155,1,1.0
0,0,0.4222717172561333,0,0.0
1,1,0.9406106012610744,1,0.98
0,0,0.4839830461991966,0,0.0
0,0,0.43910712402656776,0,0.0
0,0,0.4970564468943566,0,0.0
0,0,0.4398070640595467,0,0.0
1,1,0.8124318154073257,1,1.0
0,0,0.4471670465747156,0,0.0
0,0,0.47195467971571053,0,0.0
0,0,0.3935761923474623,0,0.0
0,0,0.3823247026784536,0,0.0
0,0,0.41129773075329323,0,0.0
0,0,0.43597545426527806,0,0.0
0,0,0.36775861530639425,0,0.0
0,0,0.35681959542170644,0,0.0
0,0,0.45881488838760776,0,0.0
1,0,0.4116481881885885,0,0.01
0,0,0.4346605955177013,0,0.0
0,0,0.3866611534294372,0,0.02
1,1,0.7334191361395618,1,0.99
0,0,0.47146034942098886,0,0.0
0,0,0.43302109182018056,0,0.0
0,0,0.3659297158084,0,0.0
0,0,0.44211466139839234,0,0.0
0,0,0.49221724110133364,0,0.0
0,0,0.35938697997924857,0,0.02
0,0,0.42139759743531585,0,0.05
0,0,0.3645341317078978,0,0.0
0,1,0.6165693904666262,0,0.28
0,0,0.3693296761981618,0,0.0
0,0,0.42722289642249534,0,0.0
0,0,0.44420714027930003,0,0.0
0,0,0.4070660358695947,0,0.0
0,0,0.4443867418059107,0,0.0
0,0,0.35934119593506203,0,0.15
0,0,0.4423620887573827,0,0.0
0,0,0.4433345575228978,0,0.0
0,0,0.4175598860878145,0,0.0
1,0,0.38194731642484236,0,0.0
0,0,0.4467189968655976,0,0.0
0,0,0.47158999527045475,0,0.0
1,0,0.42696412648333903,0,0.01
0,1,0.5212651618563596,0,0.12
0,0,0.4362281931105851,0,0.01
0,0,0.4334968709856698,0,0.0
0,0,0.42823566663807505,0,0.0
0,0,0.48291893206928066,0,0.0
0,0,0.43128864684946694,0,0.0
0,0,0.37799060661578904,0,0.0
0,0,0.453022757266481,0,0.0
0,0,0.2678009048582322,0,0.04
0,0,0.44207466858773115,0,0.0
0,0,0.4999088378792396,0,0.0
