Artist Name,avg_days_on_chart,avg_peak_streams,total_streams,cluster
Camila Cabello ,67.15384615384616,492119.1923076923,721894681,1
Camilo ,1.0,257406.0,257406,1
Canaan Smith ,102.0,117733.0,9203125,1
Capital Cities ,124.0,107339.0,8634214,2
Cardi B ,153.31578947368422,1127474.0,1536836393,0
Carin Leon ,2.0,303481.0,589476,1
Carlie Hanson ,1.0,200958.0,200958,1
Carlos Vives ,30.0,268396.0,7180475,1
Carly Pearce ,40.0,249342.0,8759463,1
Carly Rae Jepsen ,22.4,185698.8,34438811,1
Carnage ,21.333333333333332,255116.66666666666,8573862,1
Carolina Gaitán ,201.0,1486869.0,138398595,0
Carpenters ,34.75,873813.0,49555905,1
Carrie Underwood ,23.857142857142858,143662.2857142857,13782887,1
Cash Cash ,12.75,190269.0,9463377,1
Cashmere Cat ,40.5,276918.3333333333,63292069,1
Catey Shaw ,2.0,80229.0,153653,1
Catfish and the Bottlemen ,1.0,69017.0,69017,1
Catie Turner ,1.0,236545.0,236545,1
Celeste ,2.0,209606.0,408630,1
Central Cee ,36.0,301900.0,19651145,1
Chad Focus ,3.3333333333333335,189506.0,1866448,1
Chan Se Park ,1.0,239385.0,239385,1
Chance the Rapper ,37.46938775510204,442754.5306122449,482166163,1
Chantel Jeffries ,5.0,276141.0,1130016,1
Charles Perry ,3.0,87908.0,236761,1
Charli XCX ,17.2,231614.26666666666,32337711,1
Charlie Puth ,79.0,441941.6666666667,522963930,1
Chase Atlantic ,5.5,248863.0,2564835,1
Chase Rice ,36.666666666666664,190339.0,19027973,1
Cheat Codes ,59.75,261677.125,133596089,1
Chedda Da Connect ,12.0,80437.0,874093,1
Chelsea Cutler ,1.0,257166.25,2057330,1
Chief Keef ,318.0,395268.0,80223782,2
Childish Gambino ,76.35483870967742,500833.9032258064,676797305,1
China Anne McClain ,1.0,238753.0,238753,1
Chloe x Halle ,12.333333333333334,283113.6666666667,9309162,1
Chlöe ,33.0,376609.5,21634284,1
Chris Brown ,70.67647058823529,301206.73529411765,663065589,1
Chris Cornell ,1.0,210932.0,210932,1
Chris Janson ,76.0,102683.0,6704670,1
Chris Jedi ,12.0,198171.0,3996003,1
Chris Lane ,35.0,233120.0,21295017,1
Chris Rea ,18.0,756949.5,13251718,1
Chris Stapleton ,57.8,222632.4,184695520,1
